Flash,Name,Hour (GMT),Minute,Second,Microsecond
#1,Y20210911H162241.927316000,16,22,41,927341.62
#2,Y20210911H162612.355249000,16,26,12,355274.53
#3,Y20210911H163117.808603000,16,31,17,808628.45
#4,Y20210911H165304.215081000,16,53,4,215106.43
#5,Y20210911H170652.702586000,17,6,52,702610.77
#6,Y20210911H170721.445864000,17,7,21,445888.97
#7,Y20210911H171112.676188000,17,11,12,676213.2
#8,Y20210911H171113.123737000,17,11,13,123762.23
#9,Y20210911H171422.260680000,17,14,22,260704.82
#10,Y20210911H171748.764220000,17,17,40,764245.26
#11,Y20210911H171910.819587000,17,19,10,819612.36
#12,Y20210911H172150.065954000,17,21,50,65978.96
#13,Y20210911H172150.491528000,17,21,50,491553.31
#14,Y20210911H172425.681452000,17,24,25,681476.74
#15,Y20210911H172622.835336000,17,26,22,835361.67
#16,Y20210911H172846.112879000,17,28,46,112903.96
#17,Y20210911H173923.617994000,17,39,29,618019.43
#18,Y20210911H235948.375690000,23,59,48,375714.86
#19,Y20210912H000203.433345000,0,3,3,433370.38
#20,Y20210912H000311.871359000,0,3,11,871384.11
#21,Y20210912H000410.852788000,0,4,10,852813.58
#22,Y20210912H001258.089631000,0,12,58,89655.86
#23,Y20210912H001753.714300000,0,17,53,714325.24
#24,Y20210912H002240.823533000,0,22,40,823558.39
#25,Y20210912H002347.558425000,0,23,47,558449.61
#26,Y20210912H002431.957527000,0,24,31,957552.53
#27,Y20210912H002446.498929000,0,24,46,498953.8
#28,Y20210912H002558.390612000,0,25,58,390635.74
#29,Y20210912H002636.973299000,0,26,36,973324.24
#30,Y20210912H002714.178463000,0,27,14,178488.3
#31,Y20210912H002742.348842000,0,27,42,348867.65
#32,Y20210912H002937.198981000,0,29,37,199005.89
#33,Y20210912H002937.787080000,0,29,37,787105.17
#34,Y20210912H002951.168208000,0,29,51,168233.12
#35,Y20210912H003206.206188000,0,32,6,206213.51
#36,Y20210912H003418.020349000,0,34,18,20374.47
#37,Y20210912H003503.125901000,0,35,3,125925.82
#38,Y20210912H003628.010838000,0,36,28,10853.18
#39,Y20210912H031534.075572000,3,15,34,75597.75
