EventTime,Latitude,Longitude,PeakCurrent,Sensors,DegreesFreedom,EllipseAngle,EllipseSemimajorAxis,EllipseSemiminorAxis,Chisq,RiseTime,Peak2Zero,MaxRateRise,Cloud,Distance,Nano
"2021-08-19T00:00:35.205988864-05:00",38.3445,-111.4209,-12,4,5,89.3,0.2,0.2,0.1,3.6,15.8,-4.4,0,,205988864
"2021-08-19T00:01:09.329236224-05:00",38.0262,-112.1069,6,3,3,148.4,0.2,0.2,0.7,5.7,3.6,1.3,1,,329236224
"2021-08-19T00:01:39.896342784-05:00",38.1973,-111.9114,10,4,5,85.4,0.3,0.2,0.5,25.4,3.6,2.1,1,,896342784
"2021-08-19T00:01:39.896361728-05:00",38.1841,-111.8985,10,4,5,66.6,0.4,0.4,0.9,0.0,0.0,0.0,1,,896361728
"2021-08-19T00:01:39.896741120-05:00",38.1947,-111.8844,8,5,7,114.5,0.4,0.4,0.8,0.0,0.0,0.0,1,,896741120
"2021-08-19T00:01:39.897078784-05:00",38.1836,-111.9011,10,4,5,66.2,0.4,0.4,0.9,0.0,0.0,0.0,1,,897078784
"2021-08-19T00:01:39.897478656-05:00",38.1869,-111.9126,17,11,19,44.1,0.2,0.2,1.4,10.8,18.2,4.0,0,,897478656
"2021-08-19T00:02:00.867483904-05:00",38.1782,-112.2424,2,2,1,154.1,5.7,0.2,0.1,3.5,1.4,0.7,1,,867483904
"2021-08-19T00:02:01.365833216-05:00",38.1634,-112.2437,-8,4,5,161.1,0.2,0.2,1.5,7.9,10.4,-1.6,1,,365833216
"2021-08-19T00:02:13.409305600-05:00",38.0093,-112.0925,-9,5,7,79.7,0.2,0.2,0.5,4.3,3.6,-2.4,1,,409305600
"2021-08-19T00:04:29.312520704-05:00",38.3979,-111.4103,-4,3,3,151.0,0.4,0.4,0.1,0.0,0.0,0.0,1,,312520704
"2021-08-19T00:04:29.312559104-05:00",38.3977,-111.4096,-5,3,3,153.6,0.4,0.4,0.1,0.0,0.0,0.0,1,,312559104
"2021-08-19T00:04:29.443110656-05:00",38.3754,-111.3579,-16,16,17,66.7,0.2,0.2,0.3,4.2,15.6,-5.7,0,,443110656
"2021-08-19T00:04:29.465266944-05:00",38.3751,-111.3572,-18,18,17,14.3,0.2,0.2,0.6,3.8,19.0,-8.3,0,,465266944
"2021-08-19T00:04:29.499560192-05:00",38.3757,-111.3568,-14,8,13,73.7,0.2,0.2,1.3,2.1,10.2,-6.9,0,,499560192
"2021-08-19T00:04:29.553555200-05:00",38.3754,-111.3579,-16,12,17,73.2,0.2,0.2,0.3,1.9,10.8,-5.5,0,,553555200
"2021-08-19T00:04:29.623476224-05:00",38.3754,-111.3573,-14,6,9,73.3,0.2,0.2,0.4,3.0,9.0,-5.2,1,,623476224
"2021-08-19T00:04:29.685155584-05:00",38.3753,-111.3572,-16,16,13,69.8,0.2,0.2,0.4,2.6,14.8,-5.2,0,,685155584
"2021-08-19T00:04:29.719323904-05:00",38.3759,-111.3558,-13,6,9,44.4,0.2,0.2,0.3,2.2,11.6,-6.5,1,,719323904
"2021-08-19T00:05:24.240338944-05:00",38.0364,-112.0576,-6,5,7,115.3,0.4,0.4,1.0,0.0,0.0,0.0,1,,240338944
"2021-08-19T00:05:24.240464128-05:00",38.0424,-112.0702,-11,9,15,131.6,0.2,0.2,0.6,14.2,3.6,-2.2,1,,240464128
"2021-08-19T00:05:24.240608256-05:00",38.0401,-112.0642,-9,3,3,147.6,0.4,0.4,0.1,0.0,0.0,0.0,1,,240608256
"2021-08-19T00:05:24.246749952-05:00",38.0484,-112.0679,-29,29,17,110.0,0.2,0.2,0.7,8.1,23.8,-7.0,0,,246749952
"2021-08-19T00:05:24.279355904-05:00",38.0172,-112.0572,-16,19,17,138.9,0.2,0.2,0.7,10.2,15.0,-3.6,0,,279355904
"2021-08-19T00:05:24.279392000-05:00",38.0264,-112.0539,-4,3,3,148.9,0.4,0.4,0.0,0.0,0.0,0.0,1,,279392000
"2021-08-19T00:05:24.314374144-05:00",38.0369,-112.0353,-12,10,15,70.4,0.2,0.2,0.6,5.0,19.2,-3.4,0,,314374144
"2021-08-19T00:06:21.212252928-05:00",38.0481,-112.0585,-31,31,17,96.5,0.2,0.2,0.7,10.1,34.0,-6.0,0,,212252928
"2021-08-19T00:06:21.228136704-05:00",38.0474,-112.0585,-18,24,17,101.8,0.2,0.2,0.6,4.4,13.8,-5.7,0,,228136704
"2021-08-19T00:06:21.228175616-05:00",38.0506,-112.07,-6,3,3,148.4,0.4,0.4,0.1,0.0,0.0,0.0,1,,228175616
"2021-08-19T00:06:21.283236352-05:00",38.0391,-112.0118,-6,3,3,150.5,0.2,0.2,0.5,3.2,20.2,-1.9,0,,283236352
"2021-08-19T00:06:49.842438912-05:00",38.3843,-112.815,-11,6,9,109.4,0.2,0.2,0.9,15.4,17.2,-5.6,0,,842438912
"2021-08-19T00:06:50.557635584-05:00",38.3855,-112.8148,-11,11,17,34.8,0.2,0.2,0.7,14.8,14.6,-3.8,1,,557635584
"2021-08-19T00:06:50.562463488-05:00",38.4423,-112.7679,-9,7,9,21.9,0.3,0.2,1.6,28.6,20.0,-2.8,1,,562463488
